time,temperature_2m,relative_humidity_2m,pressure_msl,wind_speed_10m,wind_gusts_10m,precipitation,cloud_cover
2024-01-01 00:00:00,17.3,93,1015.9,12.0,24.8,0.0,100
2024-01-01 01:00:00,16.9,94,1016.8,9.7,20.9,0.0,89
2024-01-01 02:00:00,17.4,89,1017.6,13.0,21.2,0.0,93
2024-01-01 03:00:00,19.6,75,1017.9,13.7,26.6,0.0,93
2024-01-01 04:00:00,21.9,65,1018.1,12.4,27.4,0.0,61
2024-01-01 05:00:00,24.0,54,1017.4,9.0,26.3,0.0,71
2024-01-01 06:00:00,25.9,45,1016.2,7.0,23.4,0.0,82
2024-01-01 07:00:00,27.2,40,1014.8,5.2,20.9,0.0,59
2024-01-01 08:00:00,28.0,36,1013.2,6.2,19.8,0.0,76
2024-01-01 09:00:00,28.4,34,1011.9,7.6,20.9,0.0,64
2024-01-01 10:00:00,28.4,34,1011.6,9.7,22.3,0.0,15
2024-01-01 11:00:00,27.7,35,1011.7,11.6,23.0,0.0,45
2024-01-01 12:00:00,26.1,38,1012.2,12.4,23.4,0.0,83
2024-01-01 13:00:00,23.2,51,1014.1,12.7,22.0,0.0,100
2024-01-01 14:00:00,22.4,55,1015.5,14.7,24.1,0.0,100
2024-01-01 15:00:00,21.4,60,1016.1,14.8,24.1,0.0,100
2024-01-01 16:00:00,20.7,63,1016.7,19.1,31.3,0.0,100
2024-01-01 17:00:00,20.5,68,1016.5,17.9,32.4,0.0,100
2024-01-01 18:00:00,20.2,73,1015.9,17.0,29.9,0.0,100
2024-01-01 19:00:00,19.8,77,1015.3,17.7,29.2,0.0,100
2024-01-01 20:00:00,18.7,89,1015.0,18.8,32.0,0.0,100
2024-01-01 21:00:00,18.4,92,1014.5,16.9,31.7,0.0,100
2024-01-01 22:00:00,18.6,89,1014.3,14.8,28.4,0.0,100
2024-01-01 23:00:00,18.3,90,1014.7,14.4,25.9,0.0,100
2024-01-02 00:00:00,18.2,89,1015.1,13.5,24.8,0.0,100
2024-01-02 01:00:00,18.6,87,1016.0,13.8,25.6,0.0,100
2024-01-02 02:00:00,18.7,85,1016.6,12.0,24.1,0.0,95
2024-01-02 03:00:00,19.7,80,1017.2,13.1,24.5,0.0,98
2024-01-02 04:00:00,20.9,73,1017.1,13.7,27.4,0.0,90
2024-01-02 05:00:00,22.7,64,1016.6,11.6,28.1,0.0,88
2024-01-02 06:00:00,24.9,52,1015.5,10.5,26.3,0.0,99
2024-01-02 07:00:00,26.4,44,1014.0,11.6,28.1,0.0,100
2024-01-02 08:00:00,27.2,41,1012.5,12.0,28.1,0.0,100
2024-01-02 09:00:00,27.6,39,1011.3,12.8,28.1,0.0,99
2024-01-02 10:00:00,27.3,40,1011.0,12.6,28.1,0.0,98
2024-01-02 11:00:00,26.5,42,1011.2,13.0,26.6,0.0,100
2024-01-02 12:00:00,25.3,46,1012.0,12.8,24.8,0.0,97
2024-01-02 13:00:00,23.5,46,1013.5,10.1,19.4,0.0,77
2024-01-02 14:00:00,22.5,55,1014.9,13.7,22.3,0.0,99
2024-01-02 15:00:00,21.7,60,1015.6,15.0,25.2,0.0,92
2024-01-02 16:00:00,20.8,65,1016.1,17.9,29.5,0.0,75
2024-01-02 17:00:00,20.2,69,1016.1,18.4,30.6,0.0,100
2024-01-02 18:00:00,19.8,73,1015.8,16.9,30.6,0.0,100
2024-01-02 19:00:00,19.4,79,1015.3,16.0,28.4,0.0,94
2024-01-02 20:00:00,18.6,85,1014.8,15.2,26.6,0.0,100
2024-01-02 21:00:00,18.1,88,1014.2,13.8,25.9,0.0,100
2024-01-02 22:00:00,17.8,89,1013.9,13.8,23.8,0.0,12
2024-01-02 23:00:00,16.9,93,1013.9,13.1,23.4,0.0,2
2024-01-03 00:00:00,16.4,96,1014.5,14.2,23.4,0.0,25
2024-01-03 01:00:00,17.3,90,1015.2,13.3,23.0,0.0,100
2024-01-03 02:00:00,17.8,87,1016.1,14.7,25.9,0.0,97
2024-01-03 03:00:00,18.8,81,1016.9,15.0,28.1,0.0,33
2024-01-03 04:00:00,21.1,69,1017.0,13.2,29.2,0.0,38
2024-01-03 05:00:00,22.9,61,1016.6,11.7,27.7,0.0,28
2024-01-03 06:00:00,24.7,54,1015.5,10.3,27.0,0.0,9
2024-01-03 07:00:00,25.9,48,1014.0,8.4,25.2,0.0,8
2024-01-03 08:00:00,26.8,43,1012.5,8.9,23.8,0.0,60
2024-01-03 09:00:00,27.2,41,1011.5,9.7,23.8,0.0,100
2024-01-03 10:00:00,27.4,40,1011.1,8.6,23.8,0.0,100
2024-01-03 11:00:00,26.7,42,1010.9,10.2,21.2,0.0,100
2024-01-03 12:00:00,25.5,45,1011.5,13.4,24.1,0.0,100
2024-01-03 13:00:00,23.0,52,1012.6,7.9,18.7,0.0,88
2024-01-03 14:00:00,22.7,53,1013.3,9.5,14.8,0.0,100
2024-01-03 15:00:00,21.7,64,1014.4,15.9,26.6,0.0,100
2024-01-03 16:00:00,21.1,72,1014.8,14.5,26.6,0.0,98
2024-01-03 17:00:00,20.4,80,1014.9,16.9,28.1,0.0,58
2024-01-03 18:00:00,19.5,87,1015.0,15.3,28.4,0.0,37
2024-01-03 19:00:00,19.0,91,1014.4,15.3,25.9,0.0,37
2024-01-03 20:00:00,18.6,94,1013.9,15.7,25.9,0.0,39
2024-01-03 21:00:00,18.2,95,1013.3,14.7,26.3,0.0,71
2024-01-03 22:00:00,18.2,96,1013.6,12.7,24.1,0.0,100
2024-01-03 23:00:00,18.5,93,1013.7,14.8,24.8,0.0,100
2024-01-04 00:00:00,18.6,91,1014.1,14.8,25.9,0.0,100
2024-01-04 01:00:00,19.4,84,1015.3,14.8,25.9,0.1,99
2024-01-04 02:00:00,19.2,88,1016.1,14.2,25.6,1.8,71
2024-01-04 03:00:00,19.9,85,1016.8,17.7,30.6,0.5,91
2024-01-04 04:00:00,20.9,78,1016.9,16.5,32.0,0.1,99
2024-01-04 05:00:00,21.7,73,1016.6,14.7,30.6,0.2,77
2024-01-04 06:00:00,24.4,60,1015.4,13.7,29.2,0.0,100
2024-01-04 07:00:00,24.8,58,1013.9,13.4,29.5,0.0,100
2024-01-04 08:00:00,25.4,54,1012.5,11.2,27.7,0.0,100
2024-01-04 09:00:00,25.5,54,1011.6,11.5,24.8,0.0,100
2024-01-04 10:00:00,25.2,55,1010.9,13.0,24.8,0.0,100
2024-01-04 11:00:00,25.0,55,1011.1,12.6,24.5,0.0,100
2024-01-04 12:00:00,23.9,61,1011.8,15.5,25.9,0.0,100
2024-01-04 13:00:00,22.0,61,1013.5,13.2,24.1,0.0,100
2024-01-04 14:00:00,21.7,63,1014.4,10.6,22.0,0.0,100
2024-01-04 15:00:00,21.5,64,1014.8,12.7,20.2,0.0,100
2024-01-04 16:00:00,21.0,68,1015.3,10.9,21.6,0.0,100
2024-01-04 17:00:00,20.4,72,1015.2,12.6,20.5,0.0,100
2024-01-04 18:00:00,20.0,77,1015.0,14.6,23.8,0.0,100
2024-01-04 19:00:00,19.7,84,1014.6,14.9,24.8,0.0,100
2024-01-04 20:00:00,19.4,88,1014.3,13.0,24.8,0.0,98
2024-01-04 21:00:00,19.1,89,1013.6,12.1,21.6,0.0,100
2024-01-04 22:00:00,19.1,88,1013.7,10.8,20.2,0.0,100
2024-01-04 23:00:00,19.1,87,1013.7,12.9,21.6,0.0,100
2024-01-05 00:00:00,19.1,87,1014.2,13.1,22.7,0.0,100
2024-01-05 01:00:00,18.6,95,1015.2,11.4,20.2,0.0,65
2024-01-05 02:00:00,18.9,93,1015.9,13.0,21.2,0.0,52
2024-01-05 03:00:00,20.9,81,1016.4,13.1,25.2,0.0,55
2024-01-05 04:00:00,23.2,69,1016.2,12.1,25.9,0.0,34
2024-01-05 05:00:00,25.5,58,1015.3,9.5,25.6,0.0,92
2024-01-05 06:00:00,26.6,54,1014.0,8.9,23.4,0.0,100
2024-01-05 07:00:00,26.3,56,1013.0,11.6,25.6,0.0,87
2024-01-05 08:00:00,27.0,53,1011.9,9.9,26.6,0.0,32
2024-01-05 09:00:00,26.8,53,1011.2,8.7,24.1,0.2,34
2024-01-05 10:00:00,26.7,53,1011.0,9.3,22.0,0.0,69
2024-01-05 11:00:00,26.3,54,1011.1,8.9,21.2,0.0,38
2024-01-05 12:00:00,25.6,56,1011.7,9.3,19.1,0.0,32
2024-01-05 13:00:00,22.3,74,1013.6,10.2,20.9,0.0,71
2024-01-05 14:00:00,22.2,75,1014.4,11.2,18.0,0.0,100
2024-01-05 15:00:00,22.3,73,1015.0,14.9,24.5,0.0,100
2024-01-05 16:00:00,21.9,73,1015.2,16.1,26.6,0.0,100
2024-01-05 17:00:00,21.2,75,1015.0,16.2,27.7,0.0,100
2024-01-05 18:00:00,20.7,78,1015.2,15.7,27.4,0.0,100
2024-01-05 19:00:00,20.2,82,1015.1,15.3,26.3,0.0,100
2024-01-05 20:00:00,19.8,85,1014.8,15.0,25.9,0.1,100
2024-01-05 21:00:00,19.7,87,1014.1,13.1,25.6,0.1,100
2024-01-05 22:00:00,19.6,88,1013.8,13.3,23.4,0.3,100
2024-01-05 23:00:00,19.4,90,1013.6,14.9,24.5,0.3,100
2024-01-06 00:00:00,19.3,91,1014.1,16.3,27.0,0.1,100
