time,temperature_2m,relative_humidity_2m,pressure_msl,wind_speed_10m,wind_gusts_10m,precipitation,cloud_cover
2024-01-01 00:00:00,16.0,95,1015.9,5.0,9.7,0.0,0
2024-01-01 01:00:00,16.2,95,1016.6,6.3,10.1,0.0,3
2024-01-01 02:00:00,18.1,88,1017.2,9.7,16.6,0.0,0
2024-01-01 03:00:00,21.0,76,1018.1,7.3,16.6,0.0,0
2024-01-01 04:00:00,23.2,63,1018.3,8.4,19.8,0.0,0
2024-01-01 05:00:00,24.6,56,1017.8,9.4,22.3,0.0,0
2024-01-01 06:00:00,25.5,53,1016.8,8.9,22.7,0.0,0
2024-01-01 07:00:00,26.2,52,1015.4,8.4,22.0,0.0,0
2024-01-01 08:00:00,26.5,51,1014.3,8.2,21.6,0.0,0
2024-01-01 09:00:00,26.6,51,1013.7,7.0,20.5,0.0,0
2024-01-01 10:00:00,26.4,52,1013.5,4.7,17.6,0.0,6
2024-01-01 11:00:00,25.5,59,1013.8,2.5,12.6,0.0,1
2024-01-01 12:00:00,23.7,61,1014.2,5.8,7.6,0.0,0
2024-01-01 13:00:00,23.3,58,1015.2,6.5,8.6,0.0,0
2024-01-01 14:00:00,21.2,69,1016.0,9.2,12.6,0.0,0
2024-01-01 15:00:00,19.3,86,1016.5,6.6,16.9,0.0,0
2024-01-01 16:00:00,18.2,92,1016.7,5.8,10.4,0.0,0
2024-01-01 17:00:00,17.4,95,1016.6,9.1,10.4,0.0,0
2024-01-01 18:00:00,17.4,95,1016.2,7.9,10.4,0.0,0
2024-01-01 19:00:00,17.9,94,1015.7,2.5,9.0,0.0,0
2024-01-01 20:00:00,16.9,97,1015.2,3.8,7.2,0.0,0
2024-01-01 21:00:00,16.3,98,1014.7,4.6,7.6,0.0,0
2024-01-01 22:00:00,16.1,98,1014.6,5.2,8.6,0.0,1
2024-01-01 23:00:00,15.9,99,1014.7,4.7,8.6,0.0,14
2024-01-02 00:00:00,15.5,100,1015.3,4.7,7.9,0.0,100
2024-01-02 01:00:00,16.3,100,1016.6,6.4,12.6,0.0,100
2024-01-02 02:00:00,17.2,98,1017.3,7.1,14.4,0.0,100
2024-01-02 03:00:00,18.8,94,1018.1,5.6,15.8,0.0,75
2024-01-02 04:00:00,22.0,76,1018.3,6.1,16.6,0.0,0
2024-01-02 05:00:00,24.1,63,1017.8,8.9,21.6,0.0,0
2024-01-02 06:00:00,25.2,59,1016.5,8.4,22.0,0.0,0
2024-01-02 07:00:00,26.1,55,1015.1,8.2,21.6,0.0,0
2024-01-02 08:00:00,26.6,52,1014.1,7.1,21.2,0.0,0
2024-01-02 09:00:00,26.9,50,1013.4,5.9,19.4,0.0,0
2024-01-02 10:00:00,26.7,50,1013.1,4.8,16.2,0.0,0
2024-01-02 11:00:00,25.5,56,1013.2,4.0,12.6,0.0,0
2024-01-02 12:00:00,24.1,61,1013.7,5.1,6.8,0.0,0
2024-01-02 13:00:00,22.3,68,1015.0,8.4,11.2,0.0,0
2024-01-02 14:00:00,20.5,81,1016.0,9.9,20.2,0.0,0
2024-01-02 15:00:00,19.1,87,1016.5,5.3,15.8,0.0,0
2024-01-02 16:00:00,18.0,92,1016.8,7.8,9.4,0.0,0
2024-01-02 17:00:00,19.0,86,1016.8,6.0,9.0,0.0,0
2024-01-02 18:00:00,18.7,87,1016.4,4.6,6.8,0.0,0
2024-01-02 19:00:00,18.6,87,1015.9,2.6,5.0,0.0,0
2024-01-02 20:00:00,18.5,85,1015.3,2.2,2.9,0.0,0
2024-01-02 21:00:00,16.1,93,1014.8,4.5,5.8,0.0,0
2024-01-02 22:00:00,16.2,96,1014.7,5.7,9.4,0.0,2
2024-01-02 23:00:00,15.7,99,1014.8,7.0,11.2,0.0,17
2024-01-03 00:00:00,15.3,100,1015.4,7.3,12.2,0.0,100
2024-01-03 01:00:00,15.5,100,1016.4,8.1,13.0,0.0,100
2024-01-03 02:00:00,16.8,94,1017.5,9.8,16.9,0.0,10
2024-01-03 03:00:00,19.8,77,1018.4,9.0,18.7,0.0,0
2024-01-03 04:00:00,22.2,62,1018.5,11.0,23.0,0.0,0
2024-01-03 05:00:00,23.9,51,1017.8,12.0,25.9,0.0,0
2024-01-03 06:00:00,25.0,48,1016.7,11.5,26.3,0.0,0
2024-01-03 07:00:00,25.9,47,1015.3,10.2,25.6,0.0,0
2024-01-03 08:00:00,26.4,46,1013.9,9.7,23.8,0.0,0
2024-01-03 09:00:00,26.6,44,1013.0,9.6,22.7,0.0,0
2024-01-03 10:00:00,26.4,44,1012.8,7.9,20.9,0.0,0
2024-01-03 11:00:00,25.3,53,1013.2,3.6,16.9,0.0,0
2024-01-03 12:00:00,22.3,61,1013.6,7.9,9.0,0.0,0
2024-01-03 13:00:00,20.7,63,1014.7,6.6,10.8,0.0,0
2024-01-03 14:00:00,19.5,68,1015.2,6.3,10.8,0.0,0
2024-01-03 15:00:00,17.9,79,1015.5,7.4,9.4,0.0,0
2024-01-03 16:00:00,18.0,80,1015.5,6.1,9.7,0.0,0
