time,temperature_2m,relative_humidity_2m,pressure_msl,wind_speed_10m,wind_gusts_10m,precipitation,cloud_cover
2024-01-01 00:00:00,5.8,100,1018.7,4.6,8.6,0.0,100
2024-01-01 01:00:00,9.6,89,1019.8,4.0,10.8,0.0,100
2024-01-01 02:00:00,10.0,88,1020.2,3.7,8.6,0.0,100
2024-01-01 03:00:00,10.8,86,1020.8,4.1,10.1,0.0,96
2024-01-01 04:00:00,11.8,81,1021.4,5.2,13.7,0.0,100
2024-01-01 05:00:00,12.5,76,1021.4,4.0,14.0,0.0,100
2024-01-01 06:00:00,13.4,72,1020.6,2.5,13.7,0.0,99
2024-01-01 07:00:00,14.5,71,1019.3,2.3,13.0,0.0,100
2024-01-01 08:00:00,15.2,68,1018.2,3.9,14.4,0.0,8
2024-01-01 09:00:00,15.9,67,1017.3,5.4,15.8,0.0,5
2024-01-01 10:00:00,16.0,67,1016.8,7.4,16.6,0.0,4
2024-01-01 11:00:00,15.4,68,1016.6,8.4,16.6,0.0,3
2024-01-01 12:00:00,12.6,82,1016.7,6.9,15.1,0.0,0
2024-01-01 13:00:00,9.9,90,1018.4,6.1,9.4,0.0,2
2024-01-01 14:00:00,9.0,92,1019.0,6.4,9.4,0.0,0
2024-01-01 15:00:00,8.2,94,1019.3,6.1,9.7,0.0,0
2024-01-01 16:00:00,7.4,95,1019.5,6.6,9.4,0.0,0
2024-01-01 17:00:00,6.6,96,1019.6,7.9,10.1,0.0,0
2024-01-01 18:00:00,6.4,96,1019.2,6.5,10.1,0.0,0
2024-01-01 19:00:00,5.9,97,1018.9,7.4,10.1,0.0,0
2024-01-01 20:00:00,5.4,97,1018.4,7.2,10.1,0.0,0
2024-01-01 21:00:00,4.9,98,1018.3,7.7,10.1,0.0,0
2024-01-01 22:00:00,4.3,99,1018.1,8.4,10.8,0.0,0
2024-01-01 23:00:00,3.9,100,1018.0,8.4,10.4,0.0,24
2024-01-02 00:00:00,4.0,100,1018.0,6.2,10.4,0.0,100
2024-01-02 01:00:00,8.1,90,1019.1,5.2,11.2,0.0,100
2024-01-02 02:00:00,7.7,94,1020.0,3.3,9.7,0.0,100
2024-01-02 03:00:00,9.0,88,1020.6,4.3,10.1,0.0,89
2024-01-02 04:00:00,9.9,81,1021.3,3.9,12.2,0.0,97
2024-01-02 05:00:00,10.9,74,1021.3,1.9,12.2,0.0,100
2024-01-02 06:00:00,12.2,71,1020.3,1.3,11.9,0.0,82
2024-01-02 07:00:00,13.3,69,1018.9,1.6,12.6,0.0,68
2024-01-02 08:00:00,14.2,67,1017.7,2.2,13.0,0.0,60
2024-01-02 09:00:00,14.8,66,1016.9,2.7,13.0,0.0,43
2024-01-02 10:00:00,14.9,66,1016.4,4.2,12.6,0.0,24
2024-01-02 11:00:00,14.4,68,1016.2,6.0,12.6,0.0,9
2024-01-02 12:00:00,11.4,84,1016.4,7.6,11.5,0.0,10
2024-01-02 13:00:00,8.4,92,1017.9,7.8,9.4,0.0,0
2024-01-02 14:00:00,7.6,92,1018.2,7.6,10.4,0.0,0
2024-01-02 15:00:00,6.9,94,1018.2,8.0,9.0,0.0,0
2024-01-02 16:00:00,6.3,95,1018.5,7.9,9.7,0.0,0
2024-01-02 17:00:00,5.7,97,1018.6,7.3,9.7,0.0,0
