time,temperature_2m,relative_humidity_2m,pressure_msl,wind_speed_10m,wind_gusts_10m,precipitation,cloud_cover
2024-01-01 00:00:00,10.9,73,1015.8,5.4,15.1,0.0,0
2024-01-01 01:00:00,12.2,70,1016.9,4.1,12.2,0.0,0
2024-01-01 02:00:00,14.8,69,1017.7,1.6,12.2,0.0,0
2024-01-01 03:00:00,18.8,60,1018.3,2.4,8.6,0.0,0
2024-01-01 04:00:00,20.3,58,1018.5,4.2,14.8,0.0,0
2024-01-01 05:00:00,21.3,59,1017.6,5.7,18.0,0.0,0
2024-01-01 06:00:00,22.0,60,1016.2,5.9,19.4,0.0,3
2024-01-01 07:00:00,22.3,61,1014.9,5.4,19.8,0.0,9
2024-01-01 08:00:00,22.4,60,1013.9,5.7,18.0,0.0,10
2024-01-01 09:00:00,22.2,61,1013.4,5.5,17.6,0.0,13
2024-01-01 10:00:00,21.2,66,1013.2,4.6,15.1,0.0,11
2024-01-01 11:00:00,20.2,66,1013.7,3.3,9.7,0.0,29
2024-01-01 12:00:00,18.6,75,1014.6,2.6,4.7,0.0,43
2024-01-01 13:00:00,17.3,73,1015.0,2.9,7.9,0.0,17
2024-01-01 14:00:00,14.9,80,1015.6,3.1,10.4,0.0,5
2024-01-01 15:00:00,13.6,82,1016.2,2.8,11.2,0.0,4
2024-01-01 16:00:00,13.0,81,1016.5,3.6,12.6,0.0,3
2024-01-01 17:00:00,12.5,81,1016.5,4.1,13.0,0.0,7
2024-01-01 18:00:00,12.3,79,1016.3,4.4,13.7,0.0,12
2024-01-01 19:00:00,12.2,77,1016.0,4.9,14.0,0.0,11
2024-01-01 20:00:00,12.1,77,1015.6,3.9,14.4,0.0,8
2024-01-01 21:00:00,11.7,78,1015.4,4.6,14.0,0.0,8
2024-01-01 22:00:00,11.5,77,1015.3,3.3,14.0,0.0,5
2024-01-01 23:00:00,11.5,77,1015.5,3.1,12.2,0.0,0
2024-01-02 00:00:00,11.3,78,1016.2,3.3,12.2,0.0,1
2024-01-02 01:00:00,11.8,77,1017.3,4.6,13.7,0.0,16
2024-01-02 02:00:00,14.4,74,1018.1,2.6,13.7,0.0,3
2024-01-02 03:00:00,19.4,65,1018.6,1.9,9.7,0.0,0
2024-01-02 04:00:00,20.5,64,1018.8,4.4,14.8,0.0,0
2024-01-02 05:00:00,21.2,60,1017.7,4.3,16.6,0.0,3
2024-01-02 06:00:00,22.2,51,1016.3,5.2,16.9,0.0,12
2024-01-02 07:00:00,22.7,45,1014.9,8.3,22.3,0.0,12
2024-01-02 08:00:00,22.8,43,1014.0,9.4,23.8,0.0,10
2024-01-02 09:00:00,22.4,44,1013.7,8.6,23.8,0.0,9
2024-01-02 10:00:00,21.1,52,1013.6,5.6,20.2,0.0,7
2024-01-02 11:00:00,18.6,64,1013.8,4.5,12.2,0.0,2
2024-01-02 12:00:00,17.7,66,1014.6,3.6,9.7,0.0,0
2024-01-02 13:00:00,17.7,61,1015.4,4.2,12.6,0.0,7
2024-01-02 14:00:00,15.2,71,1015.9,4.6,13.0,0.0,7
2024-01-02 15:00:00,13.9,75,1016.3,4.3,13.7,0.0,2
2024-01-02 16:00:00,13.5,75,1016.7,3.8,13.7,0.0,0
2024-01-02 17:00:00,13.1,75,1016.6,3.8,13.0,0.0,2
2024-01-02 18:00:00,12.7,74,1016.4,4.1,13.7,0.0,6
2024-01-02 19:00:00,12.4,74,1016.1,3.3,13.7,0.0,7
2024-01-02 20:00:00,12.4,72,1015.8,2.8,12.6,0.0,5
2024-01-02 21:00:00,12.0,73,1015.5,3.8,13.0,0.0,3
2024-01-02 22:00:00,11.4,74,1015.4,4.3,14.0,0.0,4
2024-01-02 23:00:00,11.1,74,1015.5,4.1,14.0,0.0,4
