time,temperature_2m,relative_humidity_2m,pressure_msl,wind_speed_10m,wind_gusts_10m,precipitation,cloud_cover
2024-01-01 00:00:00,9.2,95,1018.2,12.9,18.7,0.0,0
2024-01-01 01:00:00,8.4,96,1018.8,12.9,18.0,0.0,0
2024-01-01 02:00:00,8.1,96,1019.5,12.2,17.6,0.0,0
2024-01-01 03:00:00,8.7,94,1020.0,11.1,16.9,0.0,0
2024-01-01 04:00:00,10.7,85,1020.7,9.5,17.3,0.0,0
2024-01-01 05:00:00,13.1,72,1021.1,12.8,22.0,0.0,0
2024-01-01 06:00:00,15.6,59,1020.4,14.5,25.6,0.0,0
2024-01-01 07:00:00,17.7,47,1019.0,15.6,27.0,0.0,0
2024-01-01 08:00:00,19.4,39,1017.7,16.9,29.2,0.0,0
2024-01-01 09:00:00,20.5,34,1016.7,18.5,30.6,0.0,0
2024-01-01 10:00:00,20.9,32,1016.1,19.7,31.3,0.0,0
2024-01-01 11:00:00,20.5,33,1015.9,20.0,31.3,0.0,0
2024-01-01 12:00:00,19.2,38,1016.2,16.4,30.2,0.0,0
2024-01-01 13:00:00,15.8,54,1017.4,15.0,22.7,0.0,0
2024-01-01 14:00:00,14.7,59,1018.1,15.3,20.9,0.0,0
2024-01-01 15:00:00,13.9,63,1018.5,14.9,20.9,0.0,0
2024-01-01 16:00:00,13.1,67,1018.9,15.3,21.2,0.0,0
2024-01-01 17:00:00,12.3,70,1019.0,16.0,22.0,0.0,0
2024-01-01 18:00:00,11.5,74,1018.6,16.0,22.3,0.0,0
2024-01-01 19:00:00,10.8,78,1018.2,15.6,22.3,0.0,0
2024-01-01 20:00:00,10.0,81,1017.9,14.5,21.6,0.0,0
2024-01-01 21:00:00,9.3,84,1017.7,13.0,19.8,0.0,0
2024-01-01 22:00:00,8.6,87,1017.4,11.8,17.6,0.0,0
2024-01-01 23:00:00,8.1,89,1017.3,11.6,15.8,0.0,0
2024-01-02 00:00:00,7.6,91,1017.4,11.0,15.1,0.0,0
2024-01-02 01:00:00,7.2,93,1017.6,10.9,14.8,0.0,0
2024-01-02 02:00:00,6.8,94,1018.5,10.5,14.8,0.0,0
2024-01-02 03:00:00,7.4,93,1018.9,10.0,14.0,0.0,0
2024-01-02 04:00:00,9.7,83,1019.5,9.2,16.6,0.0,0
2024-01-02 05:00:00,12.1,72,1019.9,11.6,20.5,0.0,0
2024-01-02 06:00:00,14.5,61,1019.2,13.6,24.5,0.0,0
2024-01-02 07:00:00,16.7,49,1017.8,14.8,26.3,0.0,0
2024-01-02 08:00:00,18.5,39,1016.6,15.6,27.4,0.0,0
2024-01-02 09:00:00,19.7,35,1015.7,15.3,27.4,0.0,0
2024-01-02 10:00:00,20.3,32,1015.2,14.8,26.6,0.0,0
2024-01-02 11:00:00,20.2,32,1015.1,14.3,24.8,0.0,0
2024-01-02 12:00:00,18.9,37,1015.4,12.4,22.3,0.0,0
2024-01-02 13:00:00,15.8,49,1016.0,12.6,16.6,0.0,0
2024-01-02 14:00:00,14.7,53,1016.7,13.5,18.4,0.0,0
2024-01-02 15:00:00,13.8,58,1017.0,13.5,18.4,0.0,0
2024-01-02 16:00:00,12.9,63,1017.2,13.4,18.4,0.0,0
2024-01-02 17:00:00,12.1,66,1017.4,13.4,18.0,0.0,0
2024-01-02 18:00:00,11.4,69,1017.2,13.7,18.4,0.0,0
2024-01-02 19:00:00,10.6,73,1016.9,13.1,18.4,0.0,0
2024-01-02 20:00:00,9.9,78,1016.7,12.3,17.6,0.0,0
2024-01-02 21:00:00,9.2,82,1016.6,11.2,16.6,0.0,0
2024-01-02 22:00:00,8.6,86,1016.4,10.5,14.8,0.0,0
2024-01-02 23:00:00,8.0,89,1016.3,9.3,13.7,0.0,0
2024-01-03 00:00:00,7.5,91,1016.3,9.5,11.9,0.0,0
2024-01-03 01:00:00,6.8,93,1017.2,10.3,13.7,0.0,0
2024-01-03 02:00:00,6.5,94,1018.0,11.2,14.8,0.0,0
2024-01-03 03:00:00,7.3,92,1018.5,11.9,16.6,0.0,0
2024-01-03 04:00:00,9.7,80,1019.3,10.4,19.1,0.0,0
2024-01-03 05:00:00,12.4,68,1019.7,12.0,21.2,0.0,0
2024-01-03 06:00:00,15.2,56,1019.0,13.8,24.5,0.0,0
2024-01-03 07:00:00,17.6,45,1017.7,15.4,27.0,0.0,0
2024-01-03 08:00:00,19.2,39,1016.5,16.1,27.7,0.0,0
2024-01-03 09:00:00,20.2,34,1015.7,16.3,28.1,0.0,0
2024-01-03 10:00:00,20.7,31,1015.1,16.3,27.7,0.0,0
2024-01-03 11:00:00,20.6,29,1015.0,16.1,26.6,0.0,0
2024-01-03 12:00:00,19.4,33,1015.2,13.8,24.8,0.0,0
2024-01-03 13:00:00,16.0,48,1015.8,14.1,18.7,0.0,0
2024-01-03 14:00:00,14.9,52,1016.6,15.2,20.5,0.0,0
2024-01-03 15:00:00,13.8,57,1017.3,15.7,21.6,0.0,0
2024-01-03 16:00:00,12.9,62,1017.9,15.6,22.0,0.0,0
2024-01-03 17:00:00,12.0,67,1018.2,15.5,22.0,0.0,0
2024-01-03 18:00:00,11.2,72,1018.0,15.5,21.6,0.0,0
2024-01-03 19:00:00,10.5,76,1017.7,15.3,22.0,0.0,0
2024-01-03 20:00:00,9.7,80,1017.7,13.8,21.6,0.0,0
2024-01-03 21:00:00,9.1,83,1017.9,12.9,18.7,0.0,0
2024-01-03 22:00:00,8.4,87,1017.9,12.3,17.3,0.0,0
2024-01-03 23:00:00,7.9,90,1017.9,12.2,16.6,0.0,0
2024-01-04 00:00:00,7.3,92,1018.2,11.6,16.2,0.0,0
2024-01-04 01:00:00,7.0,93,1019.2,11.8,16.6,0.0,0
2024-01-04 02:00:00,6.6,94,1019.9,11.7,16.2,0.0,0
2024-01-04 03:00:00,7.2,93,1020.4,11.8,16.9,0.0,0
2024-01-04 04:00:00,9.0,84,1020.9,12.2,19.4,0.0,0
2024-01-04 05:00:00,11.6,72,1021.3,13.5,23.8,0.0,0
2024-01-04 06:00:00,14.2,61,1020.2,14.2,24.8,0.0,0
2024-01-04 07:00:00,16.5,49,1018.7,14.2,25.9,0.0,0
2024-01-04 08:00:00,18.2,40,1017.4,13.4,25.9,0.0,0
2024-01-04 09:00:00,19.3,34,1016.4,13.0,24.8,0.0,0
2024-01-04 10:00:00,19.8,31,1015.9,13.5,23.8,0.0,0
2024-01-04 11:00:00,19.7,30,1015.7,13.8,23.0,0.0,0
2024-01-04 12:00:00,18.5,34,1015.8,12.3,22.0,0.0,0
2024-01-04 13:00:00,15.2,52,1017.0,13.0,17.3,0.0,0
2024-01-04 14:00:00,14.1,57,1017.4,13.7,18.4,0.0,0
2024-01-04 15:00:00,13.1,61,1017.8,13.3,18.4,0.0,0
2024-01-04 16:00:00,12.4,65,1018.1,13.6,18.4,0.0,0
2024-01-04 17:00:00,11.5,68,1018.3,13.2,18.4,0.0,0
2024-01-04 18:00:00,10.8,72,1017.9,13.6,18.7,0.0,0
2024-01-04 19:00:00,10.1,76,1017.8,12.9,18.4,0.0,0
2024-01-04 20:00:00,9.4,80,1017.7,11.9,17.3,0.0,0
2024-01-04 21:00:00,8.9,83,1017.5,11.6,15.8,0.0,0
2024-01-04 22:00:00,8.3,86,1017.3,10.8,15.5,0.0,0
2024-01-04 23:00:00,7.7,89,1017.0,9.4,14.0,0.0,0
2024-01-05 00:00:00,7.2,91,1017.2,8.7,11.9,0.0,0
2024-01-05 01:00:00,6.8,92,1018.0,11.1,14.4,0.0,0
2024-01-05 02:00:00,6.6,93,1018.7,10.2,14.8,0.0,1
2024-01-05 03:00:00,7.4,90,1019.1,10.3,14.4,0.0,2
2024-01-05 04:00:00,9.8,80,1019.8,8.1,16.2,0.0,0
2024-01-05 05:00:00,12.2,70,1020.4,9.5,18.4,0.0,0
2024-01-05 06:00:00,14.6,59,1019.7,12.2,22.3,0.0,1
2024-01-05 07:00:00,16.4,50,1018.3,13.9,24.8,0.0,19
2024-01-05 08:00:00,17.8,42,1017.2,11.1,25.6,0.0,6
2024-01-05 09:00:00,18.8,38,1016.9,10.5,22.0,0.0,6
2024-01-05 10:00:00,19.2,36,1016.6,12.8,22.3,0.0,9
2024-01-05 11:00:00,19.1,35,1016.5,16.1,24.8,0.0,9
2024-01-05 12:00:00,18.2,39,1016.7,13.4,24.8,0.0,9
2024-01-05 13:00:00,16.0,49,1017.4,13.4,19.8,0.0,2
2024-01-05 14:00:00,15.0,53,1018.0,13.4,18.4,0.0,8
2024-01-05 15:00:00,14.1,56,1018.4,13.2,18.4,0.0,8
2024-01-05 16:00:00,13.3,60,1018.7,12.1,18.4,0.0,0
2024-01-05 17:00:00,12.5,64,1019.2,11.0,16.2,0.0,2
2024-01-05 18:00:00,11.7,68,1019.1,11.2,15.1,0.0,5
2024-01-05 19:00:00,11.1,71,1019.0,11.5,15.5,0.0,1
2024-01-05 20:00:00,10.4,75,1019.0,11.1,15.5,0.0,1
2024-01-05 21:00:00,9.7,79,1018.8,10.3,14.8,0.0,0
2024-01-05 22:00:00,9.1,82,1018.5,10.0,13.3,0.0,0
2024-01-05 23:00:00,8.6,85,1018.3,9.9,13.0,0.0,0
2024-01-06 00:00:00,8.1,89,1018.5,9.4,13.0,0.0,0
2024-01-06 01:00:00,8.2,90,1019.5,10.1,13.3,0.0,0
2024-01-06 02:00:00,7.9,92,1020.1,10.8,14.4,0.0,0
2024-01-06 03:00:00,8.6,90,1020.9,10.8,15.5,0.0,0
2024-01-06 04:00:00,10.8,81,1021.4,10.3,17.6,0.0,0
2024-01-06 05:00:00,13.3,70,1021.9,13.1,22.3,0.0,0
2024-01-06 06:00:00,15.8,58,1021.0,14.5,25.6,0.0,0
2024-01-06 07:00:00,17.7,47,1019.6,15.0,26.6,0.0,0
2024-01-06 08:00:00,19.1,38,1018.3,15.1,27.0,0.0,0
2024-01-06 09:00:00,20.0,35,1017.4,15.3,27.0,0.0,0
2024-01-06 10:00:00,20.4,32,1016.9,15.5,26.6,0.0,0
2024-01-06 11:00:00,20.3,32,1017.1,16.1,26.3,0.0,0
2024-01-06 12:00:00,19.1,35,1017.5,14.6,25.2,0.0,0
2024-01-06 13:00:00,16.0,50,1018.8,13.8,20.2,0.0,0
2024-01-06 14:00:00,14.9,55,1019.6,14.8,20.5,0.0,0
2024-01-06 15:00:00,14.0,59,1020.2,15.0,20.5,0.0,0
2024-01-06 16:00:00,13.1,63,1020.6,15.1,20.9,0.0,0
2024-01-06 17:00:00,12.3,67,1020.8,15.0,20.9,0.0,0
2024-01-06 18:00:00,11.6,72,1020.5,14.3,20.5,0.0,0
2024-01-06 19:00:00,10.8,77,1020.2,13.3,19.8,0.0,0
2024-01-06 20:00:00,10.1,81,1019.7,12.3,18.4,0.0,0
2024-01-06 21:00:00,9.4,85,1019.3,11.6,16.2,0.0,0
2024-01-06 22:00:00,8.9,89,1019.1,12.4,16.6,0.0,0
2024-01-06 23:00:00,8.4,92,1019.0,12.9,17.6,0.0,0
2024-01-07 00:00:00,8.0,94,1019.2,12.2,17.6,0.0,0
2024-01-07 01:00:00,7.8,96,1020.2,11.8,16.9,0.0,0
2024-01-07 02:00:00,7.5,97,1020.8,11.9,16.2,0.0,0
2024-01-07 03:00:00,8.1,96,1021.6,11.7,16.9,0.0,0
2024-01-07 04:00:00,10.1,86,1022.3,11.4,18.7,0.0,0
2024-01-07 05:00:00,12.6,74,1022.7,12.9,22.7,0.0,0
2024-01-07 06:00:00,15.1,62,1021.8,13.9,24.5,0.0,0
2024-01-07 07:00:00,16.9,55,1020.5,14.5,26.3,0.0,0
2024-01-07 08:00:00,18.2,48,1019.2,14.8,26.3,0.0,0
2024-01-07 09:00:00,19.1,43,1018.4,15.3,26.6,0.0,0
2024-01-07 10:00:00,19.5,40,1017.6,16.3,27.0,0.0,0
2024-01-07 11:00:00,19.2,41,1017.4,17.1,27.0,0.0,0
2024-01-07 12:00:00,18.2,45,1017.5,14.6,26.3,0.0,0
2024-01-07 13:00:00,15.2,62,1018.2,13.7,20.9,0.0,0
