time,temperature_2m,relative_humidity_2m,pressure_msl,wind_speed_10m,wind_gusts_10m,precipitation,cloud_cover
2024-01-01 00:00:00,11.9,90,1017.8,4.2,7.2,0.0,100
2024-01-01 01:00:00,11.0,92,1019.1,6.8,12.2,0.0,85
2024-01-01 02:00:00,11.7,90,1019.5,6.4,10.8,0.0,98
2024-01-01 03:00:00,12.9,86,1020.0,4.6,11.2,0.0,100
2024-01-01 04:00:00,14.5,81,1020.5,4.3,12.2,0.0,98
2024-01-01 05:00:00,16.2,75,1020.3,3.3,13.0,0.0,70
2024-01-01 06:00:00,17.2,72,1019.3,3.3,12.6,0.0,86
2024-01-01 07:00:00,18.1,70,1017.8,2.9,13.0,0.0,99
2024-01-01 08:00:00,18.5,70,1016.6,3.6,13.0,0.0,18
2024-01-01 09:00:00,19.3,68,1015.9,4.1,13.7,0.0,10
2024-01-01 10:00:00,19.4,66,1015.5,5.1,13.7,0.0,5
2024-01-01 11:00:00,18.9,69,1015.5,4.0,12.6,0.0,3
2024-01-01 12:00:00,18.3,71,1015.7,4.7,6.1,0.0,0
2024-01-01 13:00:00,15.0,81,1017.4,2.3,4.0,0.0,0
2024-01-01 14:00:00,14.5,84,1017.8,2.6,2.9,0.0,0
2024-01-01 15:00:00,14.0,86,1018.2,3.1,3.6,0.0,4
2024-01-01 16:00:00,13.7,88,1018.4,2.3,3.6,0.0,7
2024-01-01 17:00:00,13.4,89,1018.3,2.9,3.2,0.0,12
2024-01-01 18:00:00,11.7,95,1017.9,5.6,6.1,0.0,17
2024-01-01 19:00:00,10.5,98,1017.5,6.6,8.6,0.0,20
2024-01-01 20:00:00,10.5,98,1017.3,5.6,8.6,0.0,20
2024-01-01 21:00:00,9.8,99,1017.1,6.4,9.0,0.0,18
2024-01-01 22:00:00,9.8,98,1017.1,5.7,9.0,0.0,49
2024-01-01 23:00:00,9.4,98,1017.1,5.8,8.6,0.0,99
2024-01-02 00:00:00,10.5,97,1017.4,4.9,9.0,0.0,95
2024-01-02 01:00:00,8.4,98,1018.4,5.5,8.6,0.0,0
2024-01-02 02:00:00,8.9,98,1019.2,6.6,9.7,0.0,0
2024-01-02 03:00:00,10.8,92,1019.8,7.4,14.4,0.0,0
2024-01-02 04:00:00,13.3,84,1020.3,7.0,16.2,0.0,0
2024-01-02 05:00:00,15.4,76,1019.9,9.1,20.2,0.0,0
2024-01-02 06:00:00,17.3,70,1018.8,7.3,20.9,0.0,100
2024-01-02 07:00:00,18.2,69,1017.5,6.3,18.7,0.0,69
2024-01-02 08:00:00,18.6,68,1016.4,5.6,17.3,0.0,85
2024-01-02 09:00:00,19.2,66,1015.7,4.7,16.6,0.0,55
2024-01-02 10:00:00,19.3,65,1015.1,3.9,14.0,0.0,15
2024-01-02 11:00:00,18.6,69,1015.0,3.8,11.2,0.0,6
2024-01-02 12:00:00,15.4,85,1015.3,7.2,9.0,0.0,1
2024-01-02 13:00:00,13.2,90,1016.4,5.9,9.0,0.0,0
2024-01-02 14:00:00,12.2,93,1017.0,5.6,8.6,0.0,0
2024-01-02 15:00:00,11.5,94,1017.3,5.1,8.3,0.0,0
2024-01-02 16:00:00,10.9,95,1017.6,5.4,8.3,0.0,0
2024-01-02 17:00:00,10.5,95,1017.7,5.3,7.9,0.0,1
2024-01-02 18:00:00,10.5,95,1017.4,5.9,9.0,0.0,4
2024-01-02 19:00:00,10.2,95,1017.3,5.8,9.7,0.0,9
2024-01-02 20:00:00,10.1,94,1017.2,6.8,10.4,0.0,11
2024-01-02 21:00:00,10.0,94,1017.0,6.3,11.9,0.0,65
2024-01-02 22:00:00,10.5,91,1016.8,9.6,14.8,0.5,7
2024-01-02 23:00:00,10.1,93,1016.8,8.8,15.1,0.0,27
2024-01-03 00:00:00,10.1,93,1017.1,7.2,15.5,0.0,17
2024-01-03 01:00:00,10.5,92,1018.0,6.8,12.6,0.0,72
2024-01-03 02:00:00,10.8,92,1018.7,6.2,10.1,0.0,36
2024-01-03 03:00:00,12.0,88,1019.4,6.2,13.0,0.0,19
2024-01-03 04:00:00,14.4,81,1020.0,7.2,16.2,0.0,49
2024-01-03 05:00:00,16.7,75,1019.4,8.2,20.2,0.4,75
