time,temperature_2m,relative_humidity_2m,pressure_msl,wind_speed_10m,wind_gusts_10m,precipitation,cloud_cover
2024-01-01 00:00:00,-7.5,34,1025.6,5.7,16.9,0.0,10
2024-01-01 01:00:00,-7.9,35,1026.2,5.8,16.6,0.0,11
2024-01-01 02:00:00,-7.4,34,1028.1,5.6,16.6,0.0,12
2024-01-01 03:00:00,-8.5,38,1029.2,5.9,18.4,0.0,11
2024-01-01 04:00:00,-5.4,30,1029.6,4.1,19.4,0.0,20
2024-01-01 05:00:00,-4.5,29,1029.3,5.1,23.8,0.0,23
2024-01-01 06:00:00,-3.5,29,1027.4,4.9,24.5,0.0,21
2024-01-01 07:00:00,-2.7,28,1025.4,4.1,24.5,0.0,16
2024-01-01 08:00:00,-2.0,27,1023.6,3.9,23.8,0.0,10
2024-01-01 09:00:00,-1.7,26,1022.5,4.0,23.4,0.0,0
2024-01-01 10:00:00,-1.7,25,1021.8,3.3,22.7,0.0,0
2024-01-01 11:00:00,-2.0,25,1021.8,2.7,19.8,0.0,0
2024-01-01 12:00:00,-2.7,27,1021.9,1.6,17.3,0.0,0
2024-01-01 13:00:00,-3.1,24,1021.8,0.5,13.7,0.0,0
2024-01-01 14:00:00,-5.7,29,1022.9,6.8,16.6,0.0,0
2024-01-01 15:00:00,-6.6,29,1023.6,11.2,22.0,0.0,0
2024-01-01 16:00:00,-7.6,31,1024.2,10.0,21.6,0.0,0
2024-01-01 17:00:00,-8.3,30,1025.1,9.7,20.2,0.0,0
2024-01-01 18:00:00,-8.9,29,1025.2,10.5,22.0,0.0,0
2024-01-01 19:00:00,-10.0,31,1025.3,9.2,22.0,0.0,0
2024-01-01 20:00:00,-10.5,31,1025.4,9.2,21.6,0.0,0
2024-01-01 21:00:00,-11.0,31,1025.8,9.5,22.3,0.0,0
2024-01-01 22:00:00,-11.7,31,1025.8,9.5,22.3,0.0,0
2024-01-01 23:00:00,-12.1,31,1026.3,9.7,22.0,0.0,0
2024-01-02 00:00:00,-12.4,32,1027.2,8.2,22.0,0.0,0
2024-01-02 01:00:00,-11.9,34,1027.9,7.4,18.4,0.0,0
2024-01-02 02:00:00,-13.4,36,1029.0,8.7,20.5,0.0,0
2024-01-02 03:00:00,-10.2,27,1030.1,7.9,20.9,0.0,0
2024-01-02 04:00:00,-6.1,20,1030.7,1.8,20.2,0.0,0
2024-01-02 05:00:00,-4.8,21,1029.9,4.3,21.2,0.0,0
2024-01-02 06:00:00,-3.6,20,1027.3,3.7,22.0,0.0,0
2024-01-02 07:00:00,-2.4,18,1024.7,4.6,24.1,0.0,0
2024-01-02 08:00:00,-1.6,17,1022.6,4.4,24.5,0.0,0
2024-01-02 09:00:00,-1.1,17,1020.9,4.3,24.1,0.0,0
2024-01-02 10:00:00,-0.8,16,1020.1,4.3,23.4,0.0,0
2024-01-02 11:00:00,-1.0,16,1019.6,3.3,22.7,0.0,0
2024-01-02 12:00:00,-2.0,18,1020.0,2.7,19.1,0.0,0
2024-01-02 13:00:00,-5.0,32,1019.8,7.6,19.8,0.0,0
2024-01-02 14:00:00,-5.8,35,1020.5,10.5,22.3,0.0,1
2024-01-02 15:00:00,-7.2,36,1021.1,10.3,22.3,0.0,2
2024-01-02 16:00:00,-7.9,32,1021.8,10.5,20.5,0.0,2
2024-01-02 17:00:00,-8.7,29,1021.8,10.7,20.2,0.0,1
2024-01-02 18:00:00,-9.6,29,1021.9,7.6,19.8,0.0,1
2024-01-02 19:00:00,-9.2,28,1022.0,7.4,16.6,0.0,26
2024-01-02 20:00:00,-10.0,30,1021.9,7.8,18.7,0.0,56
2024-01-02 21:00:00,-6.6,23,1022.2,5.6,18.7,0.0,74
2024-01-02 22:00:00,-6.6,23,1022.2,4.9,15.8,0.0,72
2024-01-02 23:00:00,-9.9,29,1022.8,7.2,18.0,0.0,42
2024-01-03 00:00:00,-8.2,24,1023.6,6.4,18.0,0.0,18
2024-01-03 01:00:00,-8.3,28,1023.5,5.8,18.0,0.0,2
2024-01-03 02:00:00,-7.3,24,1025.8,5.9,17.3,0.0,0
2024-01-03 03:00:00,-9.2,27,1026.8,5.9,17.3,0.0,0
2024-01-03 04:00:00,-6.0,20,1027.4,2.2,17.3,0.0,0
2024-01-03 05:00:00,-4.6,19,1026.5,2.1,16.6,0.0,3
2024-01-03 06:00:00,-3.3,18,1024.0,1.5,17.6,0.0,23
2024-01-03 07:00:00,-2.1,15,1021.9,1.5,16.6,0.0,83
2024-01-03 08:00:00,-1.4,14,1020.0,3.0,21.2,0.0,78
2024-01-03 09:00:00,-1.0,13,1019.0,4.0,23.8,0.0,60
2024-01-03 10:00:00,-1.0,12,1018.6,5.4,26.3,0.0,75
2024-01-03 11:00:00,-1.4,12,1018.5,6.2,26.6,0.0,44
2024-01-03 12:00:00,-2.5,14,1018.6,3.7,26.3,0.0,23
2024-01-03 13:00:00,-5.2,18,1019.0,5.5,25.6,0.0,78
2024-01-03 14:00:00,-4.1,15,1019.8,3.5,23.0,0.0,99
2024-01-03 15:00:00,-6.8,20,1020.6,6.0,20.2,0.0,38
2024-01-03 16:00:00,-8.2,23,1021.4,7.0,20.9,0.0,53
2024-01-03 17:00:00,-7.8,22,1021.5,6.4,20.5,0.0,15
2024-01-03 18:00:00,-5.6,19,1021.8,5.2,19.1,0.0,32
2024-01-03 19:00:00,-5.2,19,1021.7,4.8,17.6,0.0,17
2024-01-03 20:00:00,-5.3,19,1021.9,2.9,17.6,0.0,10
2024-01-03 21:00:00,-5.8,20,1022.2,2.5,15.8,0.0,10
2024-01-03 22:00:00,-8.4,24,1021.9,6.9,18.7,0.0,100
2024-01-03 23:00:00,-7.7,22,1021.9,6.3,19.4,0.0,99
2024-01-04 00:00:00,-8.4,24,1022.2,6.8,19.4,0.0,100
2024-01-04 01:00:00,-7.7,23,1023.6,6.0,20.5,0.0,93
2024-01-04 02:00:00,-6.7,21,1025.5,4.8,18.4,0.0,97
2024-01-04 03:00:00,-9.6,26,1026.4,8.0,19.1,0.0,99
2024-01-04 04:00:00,-5.2,18,1026.7,3.3,20.2,0.0,91
2024-01-04 05:00:00,-4.0,18,1026.1,1.8,16.2,0.0,99
2024-01-04 06:00:00,-2.9,17,1024.5,0.8,15.5,0.0,100
2024-01-04 07:00:00,-2.2,16,1022.7,1.3,16.6,0.0,100
2024-01-04 08:00:00,-1.7,16,1021.1,1.6,17.3,0.0,100
2024-01-04 09:00:00,-1.7,16,1020.3,1.1,17.6,0.0,100
2024-01-04 10:00:00,-1.7,16,1020.1,1.0,17.3,0.0,100
2024-01-04 11:00:00,-1.8,17,1019.9,0.8,15.8,0.0,95
2024-01-04 12:00:00,-2.2,18,1020.2,0.8,15.5,0.0,93
2024-01-04 13:00:00,-3.4,20,1020.8,0.7,16.9,0.0,47
2024-01-04 14:00:00,-4.4,22,1021.7,3.1,13.3,0.0,39
2024-01-04 15:00:00,-7.3,27,1022.5,8.6,18.7,0.0,8
2024-01-04 16:00:00,-8.1,28,1022.8,9.2,20.5,0.0,1
2024-01-04 17:00:00,-8.8,29,1022.9,7.4,20.5,0.0,20
2024-01-04 18:00:00,-8.4,28,1022.6,6.4,18.0,0.0,31
2024-01-04 19:00:00,-9.3,29,1022.2,7.3,18.4,0.0,1
2024-01-04 20:00:00,-8.8,27,1022.0,6.8,18.0,0.0,100
2024-01-04 21:00:00,-10.5,31,1022.0,8.2,18.0,0.0,100
2024-01-04 22:00:00,-10.6,31,1021.3,8.4,19.4,0.0,100
2024-01-04 23:00:00,-9.7,28,1021.0,7.4,19.4,0.0,100
2024-01-05 00:00:00,-9.2,27,1020.9,6.9,18.7,0.0,100
2024-01-05 01:00:00,-9.3,30,1021.2,6.8,19.8,0.0,100
2024-01-05 02:00:00,-9.3,29,1022.1,7.4,19.4,0.0,100
2024-01-05 03:00:00,-8.1,28,1022.7,7.3,20.9,0.0,100
2024-01-05 04:00:00,-4.3,21,1023.1,4.6,20.9,0.0,100
2024-01-05 05:00:00,-2.8,19,1022.8,4.2,20.5,0.0,100
2024-01-05 06:00:00,-1.9,18,1021.2,2.9,20.9,0.0,100
2024-01-05 07:00:00,-1.3,18,1019.5,3.1,20.5,0.0,100
2024-01-05 08:00:00,-1.0,17,1018.2,5.7,24.5,0.0,100
2024-01-05 09:00:00,-1.0,17,1017.4,4.2,25.2,0.0,100
2024-01-05 10:00:00,-1.2,17,1017.6,3.3,22.3,0.0,99
2024-01-05 11:00:00,-1.4,17,1017.6,4.7,20.9,0.0,98
2024-01-05 12:00:00,-3.5,21,1017.9,8.2,24.5,0.0,43
2024-01-05 13:00:00,-4.5,23,1018.7,9.2,25.9,0.0,100
2024-01-05 14:00:00,-4.6,24,1019.8,4.2,25.6,0.0,72
2024-01-05 15:00:00,-3.9,22,1020.8,0.7,21.2,0.0,97
2024-01-05 16:00:00,-4.7,24,1021.9,2.3,16.6,0.0,100
2024-01-05 17:00:00,-6.3,27,1022.5,4.8,18.4,0.0,95
2024-01-05 18:00:00,-7.7,31,1022.7,5.6,18.4,0.0,19
2024-01-05 19:00:00,-9.4,35,1022.6,6.7,17.6,0.0,17
2024-01-05 20:00:00,-10.8,39,1022.6,8.6,19.8,0.0,1
2024-01-05 21:00:00,-10.1,37,1023.0,7.6,19.8,0.0,0
2024-01-05 22:00:00,-10.5,38,1023.0,7.8,19.1,0.0,0
2024-01-05 23:00:00,-8.0,30,1022.8,6.0,19.1,0.0,0
2024-01-06 00:00:00,-6.7,27,1023.5,2.2,17.3,0.0,0
2024-01-06 01:00:00,-7.7,31,1024.7,5.6,20.5,0.0,0
2024-01-06 02:00:00,-7.3,29,1026.2,3.4,18.7,0.0,0
2024-01-06 03:00:00,-8.8,33,1027.5,5.4,18.4,0.0,0
2024-01-06 04:00:00,-5.4,25,1028.3,2.2,18.4,0.0,0
2024-01-06 05:00:00,-4.0,24,1027.3,1.9,16.9,0.0,0
2024-01-06 06:00:00,-2.9,24,1026.0,1.8,17.6,0.0,0
2024-01-06 07:00:00,-2.2,22,1024.2,1.8,18.7,0.0,0
2024-01-06 08:00:00,-1.6,20,1022.7,2.1,18.4,0.0,0
2024-01-06 09:00:00,-1.2,20,1021.7,3.6,22.7,0.0,0
2024-01-06 10:00:00,-1.0,19,1021.5,4.6,24.8,0.0,0
2024-01-06 11:00:00,-1.3,18,1021.3,4.5,24.8,0.0,0
2024-01-06 12:00:00,-2.0,19,1021.8,2.3,23.4,0.0,0
2024-01-06 13:00:00,-3.1,21,1022.9,0.7,16.6,0.0,0
2024-01-06 14:00:00,-5.8,25,1023.3,6.9,19.8,0.0,0
2024-01-06 15:00:00,-6.8,25,1023.9,8.0,21.2,0.0,0
2024-01-06 16:00:00,-7.8,27,1024.5,8.5,21.2,0.0,0
2024-01-06 17:00:00,-8.7,29,1024.9,7.7,20.9,0.0,0
2024-01-06 18:00:00,-8.0,28,1024.9,6.9,19.4,0.0,0
2024-01-06 19:00:00,-5.5,23,1024.9,5.5,18.4,0.0,0
2024-01-06 20:00:00,-7.4,26,1024.3,6.3,16.9,0.0,0
2024-01-06 21:00:00,-8.1,26,1024.4,6.6,17.3,0.0,0
2024-01-06 22:00:00,-7.8,25,1024.2,6.6,17.6,0.0,0
