time,temperature_2m,relative_humidity_2m,pressure_msl,wind_speed_10m,wind_gusts_10m,precipitation,cloud_cover
2024-01-01 00:00:00,8.1,100,1017.9,5.5,7.6,0.0,100
2024-01-01 01:00:00,10.3,95,1019.1,2.4,8.6,0.0,16
2024-01-01 02:00:00,10.3,95,1019.7,3.1,5.4,0.0,14
2024-01-01 03:00:00,12.1,88,1020.1,4.0,10.8,0.0,48
2024-01-01 04:00:00,14.4,80,1020.5,4.5,13.3,0.0,3
2024-01-01 05:00:00,16.2,73,1020.2,4.4,14.8,0.0,1
2024-01-01 06:00:00,17.9,66,1019.1,5.1,16.2,0.0,4
2024-01-01 07:00:00,19.2,63,1017.5,5.4,16.6,0.0,5
2024-01-01 08:00:00,20.1,60,1016.3,5.5,16.6,0.0,1
2024-01-01 09:00:00,20.5,60,1015.5,4.9,16.2,0.0,1
2024-01-01 10:00:00,20.5,60,1015.2,5.1,14.4,0.0,2
2024-01-01 11:00:00,19.6,65,1015.3,4.3,12.6,0.0,5
2024-01-01 12:00:00,16.8,77,1015.6,7.1,7.9,0.0,1
2024-01-01 13:00:00,14.6,83,1017.3,5.2,6.5,0.0,96
2024-01-01 14:00:00,14.9,86,1017.7,4.6,5.8,0.0,100
2024-01-01 15:00:00,14.7,86,1018.0,4.1,5.0,0.0,100
2024-01-01 16:00:00,14.5,88,1018.3,4.5,5.0,0.0,100
2024-01-01 17:00:00,14.6,88,1018.2,4.4,5.0,0.0,98
2024-01-01 18:00:00,14.9,85,1017.7,3.2,5.0,0.0,83
2024-01-01 19:00:00,13.7,91,1017.3,4.7,7.2,0.0,92
2024-01-01 20:00:00,13.8,89,1017.0,5.5,8.3,0.0,59
2024-01-01 21:00:00,13.0,91,1016.7,5.6,9.4,0.0,0
2024-01-01 22:00:00,11.0,96,1016.9,6.9,9.0,0.0,6
2024-01-01 23:00:00,10.0,98,1016.9,6.6,9.4,0.0,8
2024-01-02 00:00:00,9.6,99,1017.2,7.0,8.6,0.0,100
