time,temperature_2m,relative_humidity_2m,pressure_msl,wind_speed_10m,wind_gusts_10m,precipitation,cloud_cover
2024-01-01 00:00:00,7.4,92,1017.7,3.1,9.0,0.0,0
2024-01-01 01:00:00,8.2,91,1018.6,2.5,8.3,0.0,0
2024-01-01 02:00:00,10.5,90,1019.2,4.9,13.0,0.0,0
2024-01-01 03:00:00,13.8,73,1019.7,4.2,14.4,0.0,0
2024-01-01 04:00:00,15.1,66,1019.6,4.1,15.5,0.0,23
2024-01-01 05:00:00,16.3,59,1018.6,3.1,15.8,0.0,62
2024-01-01 06:00:00,16.8,54,1017.0,1.8,15.1,0.0,58
2024-01-01 07:00:00,17.0,50,1015.6,0.7,12.2,0.0,60
2024-01-01 08:00:00,17.1,52,1014.5,3.3,12.2,0.0,30
2024-01-01 09:00:00,16.5,55,1014.3,3.0,12.6,0.1,58
2024-01-01 10:00:00,15.0,64,1014.7,4.2,10.8,0.0,32
2024-01-01 11:00:00,12.8,81,1015.5,4.3,10.4,0.0,10
2024-01-01 12:00:00,10.5,94,1016.7,7.2,9.4,0.0,18
2024-01-01 13:00:00,12.0,91,1017.6,2.3,8.6,0.0,40
2024-01-01 14:00:00,11.8,91,1018.2,2.0,5.4,0.0,10
2024-01-01 15:00:00,8.7,96,1018.5,3.8,7.6,0.0,7
2024-01-01 16:00:00,8.7,96,1018.5,2.9,8.3,0.0,2
2024-01-01 17:00:00,8.4,96,1018.3,1.8,8.3,0.0,7
2024-01-01 18:00:00,8.2,98,1018.1,1.0,7.6,0.0,12
2024-01-01 19:00:00,8.0,98,1017.7,2.0,9.4,0.0,56
2024-01-01 20:00:00,7.5,99,1017.2,2.8,11.2,0.0,96
2024-01-01 21:00:00,7.0,98,1016.9,3.8,13.0,0.0,95
2024-01-01 22:00:00,7.2,98,1016.9,4.3,13.3,0.0,95
2024-01-01 23:00:00,7.8,98,1017.2,4.1,13.3,0.0,95
2024-01-02 00:00:00,8.1,95,1017.7,4.3,12.2,0.0,77
2024-01-02 01:00:00,6.6,100,1019.0,1.0,4.7,0.0,40
2024-01-02 02:00:00,10.0,97,1019.6,3.5,10.8,0.0,31
2024-01-02 03:00:00,12.4,82,1019.9,5.4,15.8,0.0,0
2024-01-02 04:00:00,14.1,71,1019.6,6.1,18.4,0.0,0
2024-01-02 05:00:00,15.2,66,1018.4,5.9,19.1,0.0,0
2024-01-02 06:00:00,16.1,59,1016.9,4.6,19.4,0.1,27
2024-01-02 07:00:00,16.5,54,1015.4,2.5,17.3,0.2,24
2024-01-02 08:00:00,16.2,55,1014.6,3.3,13.7,0.2,40
2024-01-02 09:00:00,16.0,56,1014.3,4.5,13.0,0.0,63
2024-01-02 10:00:00,15.0,63,1014.5,7.4,16.2,0.0,87
2024-01-02 11:00:00,13.0,77,1015.3,7.5,15.5,0.0,29
2024-01-02 12:00:00,10.4,93,1016.6,8.6,13.3,0.0,33
2024-01-02 13:00:00,9.7,92,1017.7,7.1,10.8,0.0,47
2024-01-02 14:00:00,9.8,91,1018.2,3.3,9.4,0.0,32
2024-01-02 15:00:00,10.8,89,1018.5,1.0,5.4,0.0,18
2024-01-02 16:00:00,10.7,89,1018.6,2.3,5.0,0.0,5
2024-01-02 17:00:00,10.1,89,1018.5,2.9,6.1,0.0,2
2024-01-02 18:00:00,9.6,89,1018.4,3.7,7.6,0.0,1
2024-01-02 19:00:00,11.2,84,1018.0,2.8,7.6,0.0,0
2024-01-02 20:00:00,11.5,82,1017.6,2.3,6.1,0.0,0
2024-01-02 21:00:00,11.2,82,1017.2,1.1,5.0,0.0,0
2024-01-02 22:00:00,11.0,84,1017.2,0.0,4.0,0.0,0
2024-01-02 23:00:00,10.9,86,1017.4,2.6,5.0,0.0,0
2024-01-03 00:00:00,6.9,96,1017.9,3.7,7.2,0.0,27
2024-01-03 01:00:00,7.9,97,1018.9,5.2,13.3,0.0,78
2024-01-03 02:00:00,9.1,93,1019.5,5.5,15.1,0.0,5
2024-01-03 03:00:00,13.0,63,1020.2,4.6,14.8,0.0,0
2024-01-03 04:00:00,14.3,55,1019.8,5.9,18.0,0.0,0
2024-01-03 05:00:00,15.4,48,1018.6,6.2,18.7,0.0,0
2024-01-03 06:00:00,16.1,45,1017.1,6.1,18.7,0.0,0
2024-01-03 07:00:00,16.5,46,1015.8,5.9,18.7,0.0,0
2024-01-03 08:00:00,16.7,47,1014.7,6.4,17.6,0.0,0
2024-01-03 09:00:00,16.5,49,1014.1,6.2,17.6,0.0,26
2024-01-03 10:00:00,15.8,52,1014.1,4.1,15.1,0.0,37
2024-01-03 11:00:00,14.5,54,1014.8,1.6,8.3,0.0,12
2024-01-03 12:00:00,10.5,75,1015.6,5.5,10.1,0.0,1
2024-01-03 13:00:00,9.4,89,1016.7,5.4,12.2,0.0,8
2024-01-03 14:00:00,9.1,91,1016.8,3.5,10.1,0.0,16
2024-01-03 15:00:00,8.9,90,1017.3,3.4,9.4,0.0,4
2024-01-03 16:00:00,8.4,90,1017.3,3.6,9.7,0.0,1
2024-01-03 17:00:00,8.0,90,1017.4,3.2,10.1,0.0,1
2024-01-03 18:00:00,7.8,89,1017.4,2.7,9.4,0.0,6
2024-01-03 19:00:00,7.6,90,1017.1,2.9,9.0,0.0,0
2024-01-03 20:00:00,6.7,92,1016.6,2.6,8.6,0.0,2
2024-01-03 21:00:00,6.2,93,1016.5,4.2,7.9,0.0,7
2024-01-03 22:00:00,5.9,95,1016.2,3.9,7.9,0.0,3
2024-01-03 23:00:00,6.7,92,1016.3,3.3,9.4,0.0,0
2024-01-04 00:00:00,6.5,91,1016.9,4.8,13.3,0.0,0
2024-01-04 01:00:00,6.9,94,1018.1,3.6,10.4,0.0,0
2024-01-04 02:00:00,9.8,88,1019.0,3.3,10.8,0.0,0
2024-01-04 03:00:00,13.0,57,1019.9,3.1,10.8,0.0,0
2024-01-04 04:00:00,14.1,48,1019.5,4.3,14.8,0.0,0
2024-01-04 05:00:00,15.2,46,1018.3,4.5,15.5,0.0,0
2024-01-04 06:00:00,16.0,45,1016.9,5.6,17.3,0.0,0
2024-01-04 07:00:00,16.5,46,1015.4,5.6,17.3,0.0,41
2024-01-04 08:00:00,16.7,44,1014.1,5.6,17.6,0.0,47
2024-01-04 09:00:00,16.2,46,1013.6,6.1,16.6,0.0,33
2024-01-04 10:00:00,14.8,57,1014.1,5.5,15.8,0.0,21
2024-01-04 11:00:00,12.2,77,1015.0,4.9,11.5,0.0,7
2024-01-04 12:00:00,10.0,84,1015.9,4.0,7.6,0.0,7
2024-01-04 13:00:00,8.5,87,1016.7,5.4,9.0,0.0,28
2024-01-04 14:00:00,8.0,88,1017.5,5.9,9.7,0.0,6
2024-01-04 15:00:00,7.5,90,1017.9,5.5,9.7,0.0,3
2024-01-04 16:00:00,7.8,90,1017.9,4.2,9.4,0.0,1
2024-01-04 17:00:00,7.7,90,1017.9,3.1,9.0,0.0,3
2024-01-04 18:00:00,6.6,92,1018.1,5.4,9.0,0.0,1
2024-01-04 19:00:00,7.2,91,1018.0,4.7,9.0,0.0,14
2024-01-04 20:00:00,8.6,88,1017.8,4.3,7.9,0.0,27
2024-01-04 21:00:00,10.0,89,1017.6,4.8,7.2,0.0,25
2024-01-04 22:00:00,9.7,90,1017.5,3.7,7.6,0.0,11
2024-01-04 23:00:00,7.3,96,1017.7,1.3,6.1,0.0,12
2024-01-05 00:00:00,4.9,100,1018.3,2.0,5.8,0.0,26
2024-01-05 01:00:00,6.3,99,1019.4,2.3,6.8,0.0,26
2024-01-05 02:00:00,9.9,88,1020.1,3.7,10.4,0.0,0
2024-01-05 03:00:00,12.1,72,1020.8,4.4,13.7,0.0,0
2024-01-05 04:00:00,13.4,66,1020.8,6.1,18.0,0.0,0
2024-01-05 05:00:00,14.4,62,1019.8,6.4,19.1,0.0,0
2024-01-05 06:00:00,15.4,57,1018.3,5.3,19.4,0.0,44
2024-01-05 07:00:00,15.5,54,1016.9,7.2,18.7,0.0,62
2024-01-05 08:00:00,15.4,54,1015.9,8.8,21.6,0.0,100
2024-01-05 09:00:00,14.9,56,1015.3,10.4,22.7,0.0,54
2024-01-05 10:00:00,13.9,61,1015.6,12.0,24.1,0.0,30
2024-01-05 11:00:00,12.2,72,1016.5,7.4,24.1,0.0,60
2024-01-05 12:00:00,10.5,81,1017.7,7.4,13.7,0.0,31
2024-01-05 13:00:00,11.8,79,1018.0,2.1,12.2,0.0,23
2024-01-05 14:00:00,8.7,89,1018.6,3.1,6.5,0.0,21
2024-01-05 15:00:00,9.0,86,1018.9,3.1,8.3,0.0,14
2024-01-05 16:00:00,8.3,87,1019.2,2.8,8.3,0.0,7
2024-01-05 17:00:00,7.7,87,1019.1,3.1,7.9,0.0,4
2024-01-05 18:00:00,7.3,87,1018.9,3.6,7.9,0.0,2
2024-01-05 19:00:00,7.3,83,1018.5,3.3,8.3,0.0,0
2024-01-05 20:00:00,11.8,63,1018.2,1.5,6.5,0.0,0
2024-01-05 21:00:00,12.2,58,1017.9,1.3,4.0,0.0,0
2024-01-05 22:00:00,11.7,60,1017.7,0.0,3.2,0.0,0
2024-01-05 23:00:00,11.4,63,1017.9,1.5,4.0,0.0,0
2024-01-06 00:00:00,10.6,64,1018.0,2.3,5.0,0.0,0
2024-01-06 01:00:00,7.6,72,1018.7,4.7,7.9,0.0,0
2024-01-06 02:00:00,11.3,65,1019.8,2.6,8.3,0.0,0
2024-01-06 03:00:00,13.3,49,1020.4,2.8,10.8,0.0,0
2024-01-06 04:00:00,14.2,48,1020.1,4.0,14.0,0.0,0
2024-01-06 05:00:00,15.1,46,1018.9,4.7,16.2,0.0,1
2024-01-06 06:00:00,15.8,46,1017.5,5.7,17.3,0.0,5
2024-01-06 07:00:00,16.3,45,1016.1,6.6,19.1,0.0,69
2024-01-06 08:00:00,16.2,46,1014.9,10.0,23.4,0.0,9
2024-01-06 09:00:00,15.8,49,1014.7,10.1,24.8,0.0,11
2024-01-06 10:00:00,14.6,57,1015.4,8.0,23.0,0.0,12
2024-01-06 11:00:00,11.9,76,1016.4,4.9,16.9,0.0,37
2024-01-06 12:00:00,9.5,88,1017.5,6.6,11.2,0.0,27
2024-01-06 13:00:00,9.2,86,1018.6,4.8,9.7,0.0,84
2024-01-06 14:00:00,9.5,87,1019.3,5.1,9.0,0.0,58
2024-01-06 15:00:00,9.2,90,1020.1,4.7,9.7,0.0,9
2024-01-06 16:00:00,8.0,92,1020.2,4.7,10.4,0.0,11
2024-01-06 17:00:00,8.0,92,1020.0,4.2,10.4,0.0,1
2024-01-06 18:00:00,7.8,93,1019.6,5.0,12.2,0.0,6
2024-01-06 19:00:00,7.3,95,1019.2,5.0,13.7,0.0,15
2024-01-06 20:00:00,7.1,94,1018.8,3.4,13.3,0.0,20
2024-01-06 21:00:00,7.1,93,1018.5,2.3,11.2,0.0,15
2024-01-06 22:00:00,6.7,93,1018.4,2.8,10.8,0.0,19
2024-01-06 23:00:00,6.1,93,1018.5,3.3,11.5,0.0,16
2024-01-07 00:00:00,5.5,94,1018.9,2.8,12.2,0.0,16
2024-01-07 01:00:00,6.9,85,1020.3,2.5,8.3,0.0,0
2024-01-07 02:00:00,10.6,77,1021.1,3.1,8.3,0.0,0
2024-01-07 03:00:00,13.1,61,1021.7,1.4,9.0,0.0,0
2024-01-07 04:00:00,14.1,59,1021.8,4.3,14.0,0.0,0
2024-01-07 05:00:00,15.0,58,1020.6,6.1,18.0,0.0,0
2024-01-07 06:00:00,15.9,55,1019.2,8.0,21.2,0.0,13
2024-01-07 07:00:00,16.4,52,1017.9,10.2,24.5,0.0,11
2024-01-07 08:00:00,16.2,52,1016.9,12.3,28.4,0.0,7
2024-01-07 09:00:00,15.8,52,1016.3,10.8,28.4,0.0,12
2024-01-07 10:00:00,14.8,54,1016.4,8.6,23.8,0.0,18
2024-01-07 11:00:00,11.9,75,1017.1,5.2,16.9,0.0,18
2024-01-07 12:00:00,9.3,89,1018.1,7.6,10.8,0.0,3
2024-01-07 13:00:00,8.9,88,1018.9,5.9,12.2,0.0,27
2024-01-07 14:00:00,7.8,90,1019.2,3.7,8.6,0.0,6
2024-01-07 15:00:00,8.3,87,1019.5,2.8,7.9,0.0,7
2024-01-07 16:00:00,8.1,87,1019.5,2.6,7.9,0.0,9
2024-01-07 17:00:00,7.6,87,1019.4,3.7,7.9,0.0,14
2024-01-07 18:00:00,7.1,86,1019.1,4.7,8.6,0.0,10
2024-01-07 19:00:00,6.7,85,1018.7,5.7,9.7,0.0,1
2024-01-07 20:00:00,8.6,76,1018.3,4.2,9.4,0.0,0
2024-01-07 21:00:00,10.3,69,1018.2,3.5,7.6,0.0,0
2024-01-07 22:00:00,8.0,77,1018.2,5.0,8.3,0.0,0
2024-01-07 23:00:00,6.4,84,1018.4,4.2,10.1,0.0,4
2024-01-08 00:00:00,5.5,91,1019.0,5.2,14.8,0.0,23
2024-01-08 01:00:00,5.2,95,1020.2,4.2,13.7,0.0,36
2024-01-08 02:00:00,7.8,93,1021.1,5.5,14.4,0.0,47
2024-01-08 03:00:00,12.1,76,1021.8,3.3,14.4,0.0,2
2024-01-08 04:00:00,13.6,68,1021.8,3.3,13.7,0.0,33
2024-01-08 05:00:00,14.8,61,1020.3,5.4,16.9,0.0,65
2024-01-08 06:00:00,15.3,57,1018.8,7.1,19.8,0.1,100
2024-01-08 07:00:00,15.5,57,1017.5,9.3,23.8,0.2,54
2024-01-08 08:00:00,15.1,59,1016.8,9.8,24.1,0.1,46
2024-01-08 09:00:00,14.7,60,1016.5,8.9,23.4,0.0,39
2024-01-08 10:00:00,14.1,62,1016.5,6.5,19.8,0.0,23
2024-01-08 11:00:00,11.4,81,1016.8,6.2,12.6,0.0,28
2024-01-08 12:00:00,9.4,89,1017.9,6.4,10.8,0.0,43
2024-01-08 13:00:00,9.0,92,1019.1,5.9,13.7,0.4,70
2024-01-08 14:00:00,8.9,96,1019.8,4.3,11.2,0.1,100
2024-01-08 15:00:00,9.4,97,1020.3,3.6,9.7,0.0,99
2024-01-08 16:00:00,9.7,97,1020.4,4.5,10.8,0.0,100
2024-01-08 17:00:00,8.6,98,1019.8,4.4,11.5,0.0,55
2024-01-08 18:00:00,6.9,100,1019.5,2.3,11.5,0.0,90
2024-01-08 19:00:00,6.7,94,1019.0,1.3,10.1,0.0,32
2024-01-08 20:00:00,6.4,91,1018.3,2.3,6.8,0.0,0
2024-01-08 21:00:00,6.3,86,1017.8,3.4,6.8,0.0,0
2024-01-08 22:00:00,5.9,85,1017.6,2.6,6.5,0.0,0
2024-01-08 23:00:00,5.7,85,1017.6,2.3,6.1,0.0,0
2024-01-09 00:00:00,5.7,84,1017.7,2.5,7.2,0.0,0
2024-01-09 01:00:00,6.3,94,1019.2,4.8,8.3,0.0,0
