time,temperature_2m,relative_humidity_2m,pressure_msl,wind_speed_10m,wind_gusts_10m,precipitation,cloud_cover
2024-01-01 00:00:00,-3.0,76,1024.9,3.4,6.1,0.0,0
2024-01-01 01:00:00,-0.9,73,1026.2,2.3,9.0,0.0,0
2024-01-01 02:00:00,-1.3,71,1027.2,3.6,5.8,0.0,0
2024-01-01 03:00:00,-1.7,69,1028.1,3.3,5.8,0.0,0
2024-01-01 04:00:00,1.8,61,1028.6,4.2,10.8,0.0,0
2024-01-01 05:00:00,3.9,60,1028.4,5.6,14.8,0.0,0
2024-01-01 06:00:00,6.1,47,1026.4,6.3,17.3,0.0,0
2024-01-01 07:00:00,7.7,39,1024.1,6.0,17.6,0.0,0
2024-01-01 08:00:00,8.7,35,1022.2,5.5,17.3,0.0,0
2024-01-01 09:00:00,9.1,34,1021.0,4.1,16.2,0.0,0
2024-01-01 10:00:00,8.6,35,1020.5,2.6,13.3,0.0,0
2024-01-01 11:00:00,6.8,41,1020.4,4.4,8.6,0.0,0
2024-01-01 12:00:00,4.2,53,1020.5,6.5,9.4,0.0,0
2024-01-01 13:00:00,4.7,60,1020.8,4.4,6.5,0.0,0
2024-01-01 14:00:00,-0.1,74,1021.5,8.6,11.5,0.0,0
2024-01-01 15:00:00,-0.7,75,1021.9,9.9,14.4,0.0,0
2024-01-01 16:00:00,3.4,59,1022.3,6.0,13.7,0.0,0
2024-01-01 17:00:00,3.0,58,1023.0,2.7,8.6,0.0,0
2024-01-01 18:00:00,2.4,57,1023.2,0.8,5.0,0.0,0
2024-01-01 19:00:00,1.4,56,1023.5,1.0,3.2,0.0,0
2024-01-01 20:00:00,0.4,54,1023.7,1.3,3.6,0.0,0
2024-01-01 21:00:00,-2.4,60,1024.0,2.9,5.4,0.0,0
2024-01-01 22:00:00,-3.4,61,1024.1,2.6,5.8,0.0,0
2024-01-01 23:00:00,-4.2,63,1024.2,2.8,6.1,0.0,0
2024-01-02 00:00:00,-4.6,62,1024.6,2.6,6.1,0.0,0
2024-01-02 01:00:00,-1.1,63,1025.4,3.6,11.5,0.0,0
2024-01-02 02:00:00,-3.2,68,1026.1,3.2,6.1,0.0,0
2024-01-02 03:00:00,-2.2,56,1026.9,2.6,6.8,0.0,0
2024-01-02 04:00:00,2.2,42,1027.3,1.9,9.4,0.0,0
2024-01-02 05:00:00,4.7,45,1026.9,4.9,14.0,0.0,0
2024-01-02 06:00:00,6.3,38,1025.2,7.0,18.0,0.0,0
2024-01-02 07:00:00,7.4,33,1023.3,7.3,19.4,0.0,0
2024-01-02 08:00:00,8.1,31,1021.6,5.4,19.1,0.0,0
2024-01-02 09:00:00,8.5,31,1020.1,3.1,16.2,0.0,0
2024-01-02 10:00:00,8.0,32,1019.7,1.5,12.6,0.0,0
2024-01-02 11:00:00,6.6,38,1019.6,1.5,7.6,0.0,0
2024-01-02 12:00:00,2.7,53,1019.7,4.7,7.2,0.0,11
2024-01-02 13:00:00,1.9,59,1019.9,6.5,9.7,0.0,1
2024-01-02 14:00:00,2.9,54,1020.2,6.2,9.7,0.0,20
2024-01-02 15:00:00,3.5,52,1020.6,4.7,9.0,0.0,72
2024-01-02 16:00:00,2.9,54,1021.1,4.6,7.2,0.0,91
2024-01-02 17:00:00,1.5,58,1021.4,4.1,7.2,0.0,92
2024-01-02 18:00:00,2.1,54,1021.7,1.1,6.8,0.0,53
2024-01-02 19:00:00,1.4,57,1021.9,1.1,3.2,0.0,17
2024-01-02 20:00:00,0.6,59,1022.6,1.8,4.0,0.0,1
2024-01-02 21:00:00,-1.5,66,1023.0,3.3,5.8,0.0,22
2024-01-02 22:00:00,-2.5,70,1023.0,2.3,5.8,0.0,35
2024-01-02 23:00:00,-2.8,68,1023.1,2.1,5.0,0.0,88
2024-01-03 00:00:00,-2.9,64,1023.5,1.3,4.7,0.0,100
2024-01-03 01:00:00,-3.6,74,1024.8,4.0,7.9,0.0,49
2024-01-03 02:00:00,-2.6,64,1025.6,1.3,6.8,0.0,27
2024-01-03 03:00:00,-2.8,61,1026.5,2.5,5.0,0.0,41
2024-01-03 04:00:00,0.9,53,1027.0,3.2,10.4,0.0,37
2024-01-03 05:00:00,3.2,51,1026.6,4.3,13.7,0.0,20
2024-01-03 06:00:00,5.4,39,1024.9,5.7,16.6,0.0,34
2024-01-03 07:00:00,7.2,32,1022.8,8.0,19.8,0.0,32
2024-01-03 08:00:00,8.5,25,1020.8,7.2,20.2,0.0,30
2024-01-03 09:00:00,9.2,21,1019.4,5.6,18.4,0.0,11
