time,temperature_2m,relative_humidity_2m,pressure_msl,wind_speed_10m,wind_gusts_10m,precipitation,cloud_cover
2024-01-01 00:00:00,8.5,99,1017.8,2.3,8.3,0.0,100
2024-01-01 01:00:00,8.4,98,1019.3,0.4,7.6,0.0,100
2024-01-01 02:00:00,8.9,99,1019.9,0.7,6.8,0.0,100
2024-01-01 03:00:00,9.7,94,1020.5,1.5,9.4,0.0,100
2024-01-01 04:00:00,11.1,97,1020.9,1.6,10.8,0.0,100
2024-01-01 05:00:00,13.6,86,1020.4,2.6,12.2,0.0,81
2024-01-01 06:00:00,16.0,78,1019.1,2.7,14.0,0.0,9
2024-01-01 07:00:00,17.6,71,1017.6,2.9,13.7,0.0,0
2024-01-01 08:00:00,18.8,66,1016.5,3.4,14.0,0.0,0
2024-01-01 09:00:00,19.5,62,1015.6,2.7,13.7,0.0,0
2024-01-01 10:00:00,19.6,60,1015.1,2.5,11.5,0.0,0
2024-01-01 11:00:00,18.7,77,1015.2,2.5,8.6,0.0,0
2024-01-01 12:00:00,16.8,73,1015.6,5.5,6.1,0.0,3
2024-01-01 13:00:00,14.3,83,1017.2,5.1,5.8,0.0,6
2024-01-01 14:00:00,12.9,89,1017.4,7.6,9.4,0.0,0
2024-01-01 15:00:00,12.9,90,1017.6,7.3,9.4,0.0,0
2024-01-01 16:00:00,14.3,82,1017.7,3.7,10.8,0.0,1
2024-01-01 17:00:00,14.0,84,1017.6,1.3,4.3,0.0,0
2024-01-01 18:00:00,11.2,96,1017.5,5.5,6.8,0.0,5
2024-01-01 19:00:00,10.4,98,1017.3,7.3,8.6,0.0,9
2024-01-01 20:00:00,10.7,98,1017.2,6.0,8.6,0.0,13
2024-01-01 21:00:00,11.9,95,1016.7,3.5,6.8,0.0,22
2024-01-01 22:00:00,11.2,96,1016.7,2.8,4.3,0.0,20
2024-01-01 23:00:00,9.8,99,1016.7,5.2,6.1,0.0,1
2024-01-02 00:00:00,9.7,98,1017.0,6.8,8.3,0.0,0
2024-01-02 01:00:00,10.6,99,1018.0,2.2,6.1,0.0,100
2024-01-02 02:00:00,10.3,99,1018.5,1.5,3.6,0.0,100
2024-01-02 03:00:00,12.5,98,1019.2,2.4,9.4,0.0,6
2024-01-02 04:00:00,15.9,83,1019.5,2.4,10.8,0.0,0
2024-01-02 05:00:00,18.2,74,1019.0,3.1,12.6,0.0,1
2024-01-02 06:00:00,19.8,66,1017.9,3.9,14.0,0.0,0
2024-01-02 07:00:00,21.1,61,1016.5,4.7,15.1,0.0,0
2024-01-02 08:00:00,21.9,59,1015.3,5.2,15.5,0.0,0
2024-01-02 09:00:00,22.2,58,1014.7,5.0,15.1,0.0,0
2024-01-02 10:00:00,22.1,59,1014.4,4.4,13.7,0.0,0
2024-01-02 11:00:00,20.6,77,1014.4,4.3,10.4,0.0,0
2024-01-02 12:00:00,17.7,80,1014.7,7.6,8.6,0.0,0
2024-01-02 13:00:00,16.4,86,1016.0,8.1,9.4,0.0,0
2024-01-02 14:00:00,16.0,86,1016.3,7.6,9.4,0.0,0
2024-01-02 15:00:00,14.9,90,1016.7,7.9,8.6,0.0,0
2024-01-02 16:00:00,14.2,92,1016.9,9.0,10.1,0.0,2
2024-01-02 17:00:00,13.8,93,1016.9,9.0,10.4,0.0,1
2024-01-02 18:00:00,13.5,94,1016.7,8.5,10.4,0.0,0
2024-01-02 19:00:00,12.8,96,1016.6,8.5,10.1,0.0,3
2024-01-02 20:00:00,12.8,97,1016.2,7.3,10.1,0.0,0
2024-01-02 21:00:00,12.7,96,1016.0,8.0,10.1,0.0,12
2024-01-02 22:00:00,13.0,96,1016.0,5.6,10.1,0.0,89
2024-01-02 23:00:00,13.3,96,1016.2,7.4,11.5,0.0,90
2024-01-03 00:00:00,13.3,96,1016.5,7.5,12.6,0.0,51
2024-01-03 01:00:00,12.9,97,1017.4,7.5,12.2,0.0,83
2024-01-03 02:00:00,13.5,96,1018.1,9.7,15.1,0.0,55
2024-01-03 03:00:00,15.2,90,1019.1,8.1,16.6,0.0,28
2024-01-03 04:00:00,17.4,82,1019.3,9.7,20.2,0.0,11
2024-01-03 05:00:00,19.2,76,1018.8,10.7,22.3,0.0,64
2024-01-03 06:00:00,20.9,70,1017.8,11.9,24.5,0.0,99
2024-01-03 07:00:00,21.0,68,1016.2,14.0,30.6,0.0,64
2024-01-03 08:00:00,22.2,64,1015.1,7.9,27.0,0.0,99
2024-01-03 09:00:00,21.0,69,1014.5,12.1,22.3,0.0,100
2024-01-03 10:00:00,19.7,76,1014.4,6.8,22.3,0.1,99
2024-01-03 11:00:00,19.1,82,1014.3,8.8,14.4,0.1,84
2024-01-03 12:00:00,17.1,93,1014.4,7.1,15.1,0.0,31
2024-01-03 13:00:00,15.5,98,1014.7,4.3,10.8,0.0,40
2024-01-03 14:00:00,15.2,99,1015.1,5.0,7.9,0.0,36
2024-01-03 15:00:00,15.4,97,1015.7,8.2,15.1,0.0,34
2024-01-03 16:00:00,14.6,98,1016.3,6.4,13.7,0.0,93
2024-01-03 17:00:00,14.6,98,1016.4,7.6,9.0,0.0,100
2024-01-03 18:00:00,15.0,97,1015.9,6.1,8.6,0.0,100
2024-01-03 19:00:00,15.3,97,1015.7,4.1,6.8,0.0,100
2024-01-03 20:00:00,14.9,98,1015.6,5.4,7.6,0.0,100
2024-01-03 21:00:00,14.7,98,1015.4,5.3,6.5,0.0,67
2024-01-03 22:00:00,15.3,96,1015.3,3.1,6.5,0.0,9
2024-01-03 23:00:00,13.1,99,1015.6,6.5,7.9,0.0,21
2024-01-04 00:00:00,13.3,99,1016.1,5.8,7.9,0.0,40
2024-01-04 01:00:00,13.8,99,1017.1,4.0,8.6,2.0,100
2024-01-04 02:00:00,13.9,99,1017.9,3.2,13.0,0.5,100
2024-01-04 03:00:00,14.5,98,1019.1,1.8,9.7,0.0,100
2024-01-04 04:00:00,15.3,98,1020.0,7.2,15.8,0.0,100
2024-01-04 05:00:00,16.5,91,1019.8,4.0,17.3,0.0,100
2024-01-04 06:00:00,16.8,90,1018.8,10.1,19.8,0.2,93
2024-01-04 07:00:00,17.5,87,1017.2,3.1,20.5,2.1,58
2024-01-04 08:00:00,19.1,80,1015.8,5.9,19.8,0.1,17
2024-01-04 09:00:00,20.1,78,1014.8,1.5,15.5,0.0,19
2024-01-04 10:00:00,20.4,76,1014.4,3.8,10.8,0.0,12
2024-01-04 11:00:00,19.6,85,1014.5,2.1,10.8,0.0,0
2024-01-04 12:00:00,17.6,87,1014.8,5.2,5.8,0.0,0
2024-01-04 13:00:00,16.2,92,1015.2,7.2,9.0,0.0,0
2024-01-04 14:00:00,15.2,94,1015.7,8.3,9.7,0.0,0
2024-01-04 15:00:00,14.9,94,1016.0,8.1,9.7,0.0,0
2024-01-04 16:00:00,14.8,94,1016.5,6.8,9.4,0.0,0
2024-01-04 17:00:00,13.7,97,1016.5,7.9,9.0,0.0,0
2024-01-04 18:00:00,13.6,97,1016.4,6.6,9.4,0.0,0
2024-01-04 19:00:00,13.7,96,1016.1,6.2,9.7,0.0,26
2024-01-04 20:00:00,14.1,96,1015.9,5.9,11.9,0.0,0
2024-01-04 21:00:00,14.4,94,1016.0,3.9,9.4,0.0,66
2024-01-04 22:00:00,13.9,96,1016.0,2.1,4.3,0.0,42
2024-01-04 23:00:00,14.2,96,1016.1,1.3,2.9,0.0,3
2024-01-05 00:00:00,14.0,96,1016.4,3.9,4.3,0.0,10
2024-01-05 01:00:00,14.0,98,1017.7,4.3,4.7,0.0,6
2024-01-05 02:00:00,13.9,98,1018.3,4.3,8.3,0.0,16
2024-01-05 03:00:00,15.8,91,1019.1,2.9,10.1,0.0,6
2024-01-05 04:00:00,17.6,86,1019.6,5.8,14.8,0.0,2
2024-01-05 05:00:00,19.3,81,1019.2,6.4,16.6,0.0,27
